id,x,y,traffic,pollution,hotspots
90,209.01145,230.54425,1.95272,8.83834,0.0
91,197.77685,227.03343,1.94901,8.82558,0.0
92,187.01032,226.79937,1.96442,8.82472,0.8513358085681995
95,234.75727,228.2034,1.90374,8.82983,0.0
96,223.05447,244.8213,2.02528,8.89026,0.0
103,275.36572,312.34689,9.32542,9.13581,0.0
104,282.15332,318.54935,3.7246,9.15836,0.0
105,298.30312,348.15735,2.27134,9.26603,0.11379278602003713
106,318.54892,345.58275,2.43077,9.25666,0.0
110,298.06858,444.70409,1.71906,9.61711,0.0
112,323.72148,397.20499,1.89907,9.44438,0.0
114,340.768,398.032,1.91712,9.44739,0.0
116,284.3318,475.8184,1.6509,9.73025,0.0
118,275.5602,495.84414,1.61657,9.80307,0.7798437124431694
122,292.8551,305.76502,3.06046,9.11187,0.0
123,292.27585,315.03313,26.74232,9.14558,0.0
124,297.738,288.47,2.31557,9.04898,0.0
126,357.636,319.485,2.83626,9.16176,0.0
127,322.5278,300.9947,2.45357,9.09453,0.0
128,340.55,293.27089,2.21458,9.06644,0.0
129,357.402,295.37738,2.18452,9.0741,0.0
131,319.2509,280.1639,2.12128,9.01878,0.0
133,310.35732,252.31127,1.92813,8.9175,0.0
135,260.26929,227.384,1.86928,8.82685,0.0
137,366.2962,235.6931,1.7978,8.85707,0.0
138,384.5525,229.84172,1.76564,8.83579,0.0
141,412.87277,234.17202,1.75739,8.85153,0.0
142,427.85227,226.68226,1.7282,8.8243,0.0
143,399.766,249.152,1.8142,8.90601,0.02408470008233736
145,330.36867,162.90261,1.65057,8.59237,0.0
148,366.17952,102.86692,1.55921,8.37406,0.0
150,315.85774,89.29182,1.55854,8.3247,0.0
152,246.81154,73.02498,1.5601,8.26555,0.0
154,442.4815,69.74845,1.5109,8.25363,0.0
155,400.5145,152.26143,1.60744,8.55368,0.0
3,112.7068,390.9156,1.73372,8.8,0.0
5,117.67206,378.1719,1.77137,9.0,0.0
10,115.51998,370.0624,1.79455,9.5,0.0
11,164.6744,363.27689,1.86697,9.32101,0.0
21,130.581,325.0462,2.04057,9.18199,0.0
16,164.50847,385.4541,1.78571,9.40165,0.0
28,243.94992,389.09515,1.84448,9.41489,0.0
41,143.47579,295.8456,2.57267,9.0758,0.0
17,156.06844,341.92739,1.96662,9.24337,0.0
18,156.0685,322.7283,2.1233,9.17356,0.0
23,150.27571,313.46112,2.21938,9.13986,0.0
48,126.15565,275.13125,5.60373,9.00048,0.0
52,117.72937,284.84473,2.76457,9.0358,0.0
26,211.01508,368.73847,1.89656,9.34087,0.0
30,214.98655,360.79391,1.94414,9.31198,0.0
31,244.77755,381.15048,1.87904,9.386,0.0
39,214.62816,414.62893,1.73998,9.50774,0.0
35,261.4933,333.81692,2.3631,9.21388,0.0
40,221.88397,313.1652,2.68787,9.13878,0.0
49,139.02865,277.93991,6.51919,9.01069,0.0
47,121.7086,278.7591,3.42613,9.01367,0.0
45,107.431,304.038,2.19729,9.10559,0.0
53,117.8471,270.5679,-11.92443,8.98388,1.747419158522428
54,167.1154,274.42982,3.16254,8.99793,0.0
101,243.5342,305.32524,5.58864,9.11027,0.0
66,164.18966,224.45831,1.9874,8.81621,0.0
85,286.24967,113.98485,1.59577,8.41449,0.0
68,207.02174,291.39901,5.60225,9.05963,0.0
65,168.40265,220.47938,1.95499,8.80174,0.0
73,169.97,216.145,1.92777,8.78598,0.0
111,310.97778,435.43599,1.75031,9.5834,0.0
113,334.64458,411.10719,1.84971,9.49494,0.0
70,197.89388,295.96216,3.99342,9.07623,0.0
71,164.34345,216.31145,1.93673,8.78659,0.0
74,158.96412,204.80815,1.88493,8.74476,0.0
77,156.06872,209.5258,1.91162,8.76191,0.0
98,214.0429,269.6309,2.36978,8.98048,0.37868498033620235
100,258.74793,256.75839,2.04746,8.93367,0.0
93,193.09585,222.35268,1.9292,8.80856,1.7663701754655128
94,191.92561,213.4578,1.88574,8.77621,2.459248633250996
97,243.8849,256.5238,2.07901,8.93281,0.0
102,281.2171,303.4528,3.12814,9.10346,0.0
99,266.7058,283.79179,2.38348,9.03197,0.0
139,374.02,221.18168,1.74929,8.8043,0.0
149,368.40304,66.93952,1.52444,8.24342,0.08649910247165497
109,270.92628,419.87879,1.76476,9.52683,0.0
107,271.1524,320.42144,3.03305,9.16517,0.0
108,251.23158,396.04649,1.82515,9.44017,0.0
117,304.3575,492.6996,1.6321,9.79163,0.0
115,324.218,397.205,1.8997,9.44438,0.0
119,269.1056,477.96996,1.64096,9.73807,0.0
120,316.1081,505.2771,1.61798,9.83737,0.0
121,274.73348,516.3657,1.58921,9.87769,0.0
125,287.55983,282.6773,2.26032,9.02792,0.17051798380869093
130,304.2714,289.5261,2.30403,9.05282,0.0
132,298.42052,283.20657,2.22562,9.02984,0.49425748068140557
134,310.82519,198.0101,1.73165,8.72004,0.0
136,325.9217,245.40638,1.87431,8.89239,0.0
146,297.48397,108.48481,1.58538,8.39449,0.0
140,390.87157,234.99121,1.77591,8.85451,0.0
144,317.02757,191.69141,1.71306,8.69706,0.0
147,359.2749,157.75282,1.63049,8.57365,0.0
151,283.90924,68.92902,1.54626,8.25065,0.0
156,425.0088,154.41296,1.60191,8.5615,0.0
153,420.2463,73.61036,1.51876,8.26767,0.0
